date,location,new_cases,new_cases_per_million,new_deaths,new_deaths_per_million
2021-12-05,Poland,23407.53479928295,587.2858027323665,402.1282025656571,10.089082825260894
2021-12-06,Poland,23819.25217392923,597.6156388809658,404.2159586875975,10.141457404637904
2021-12-07,Poland,23567.933166765975,591.3101173084144,381.76141929061407,9.578106713316515
2021-12-08,Poland,22948.417924386744,575.7666824924785,373.67822755314427,9.37536468433088
2021-12-09,Poland,22643.83255040686,568.1247633853603,398.5808762288237,10.000187006503555
2021-12-10,Poland,22057.88865568716,553.4236778614456,405.0786606699406,10.163310678001253
2021-12-11,Poland,21243.497851088905,532.9909433286982,407.44604364512116,10.222723938037932
2021-12-12,Poland,21086.607163099456,529.0545987676425,433.02442112306625,10.864469798441496
2021-12-13,Poland,20922.5158087765,524.9376399803666,421.4136931537096,10.573222088962705
2021-12-14,Poland,20180.578144274918,506.32274482793014,408.28549058831663,10.243869765124403
2021-12-15,Poland,19618.0801266167,492.2099478264217,415.926103615142,10.435594236222322
2021-12-16,Poland,19202.6762951988,481.7877390974457,447.4969515245422,11.227714609369622
2021-12-17,Poland,18552.06040314438,465.4640802601866,444.68142595399223,11.157074129609457
2021-12-18,Poland,17311.53336666178,434.33974912573257,442.50388139293784,11.10237721140185
2021-12-19,Poland,16799.370781287456,421.489788772567,454.25757121470144,11.397228852248288
2021-12-20,Poland,16326.57591205507,409.627496085569,440.9420623024816,11.063102715316527
2021-12-21,Poland,15161.731301026464,380.40196168608213,407.212660336775,10.216784907553166
2021-12-22,Poland,14101.469265376903,353.80043894743346,398.47669498611134,9.99756288523085
2021-12-23,Poland,13397.03271698396,336.1263363320626,412.7111444280669,10.354665067473313
2021-12-24,Poland,12564.409328677548,315.2361376980321,410.192903548505,10.291411694159928
2021-12-25,Poland,11462.767382982976,287.59631011180653,421.5417957690689,10.576081525910904
2021-12-26,Poland,11008.464767623678,276.1980521741008,430.42048975541485,10.798734566057645
2021-12-27,Poland,10915.391837422048,273.8628521074659,450.3507579546622,11.29877647843513
2021-12-28,Poland,10717.394769289314,268.89521475946987,446.482558720943,11.201757554563667
2021-12-29,Poland,10556.691887396819,264.86329038831934,449.94519406993766,11.288708679001507
2021-12-30,Poland,10847.36788273268,272.15622325522435,465.6598700652841,11.683013260044591
2021-12-31,Poland,11143.665767124017,279.5901519242281,444.7708479096811,11.15894452774372
2022-01-01,Poland,11242.419823429267,282.0677741797687,422.8273863071338,10.608498584048524
2022-01-02,Poland,11759.575112451768,295.04294782628745,426.9397634518975,10.711739097125385
2022-01-03,Poland,12255.674196243539,307.48987576232787,416.19566883253316,10.442223454946287
2022-01-04,Poland,12235.672130609679,306.98803038501615,364.1739130437256,9.137032417130976
2022-01-05,Poland,11888.559253714559,298.2790693322034,328.00533066822237,8.229580876234149
2022-01-06,Poland,11965.593536573186,300.2118264869607,304.5573213395378,7.641316641684366
2022-01-07,Poland,12240.045310686322,307.0976726971937,282.52993503267624,7.088638813931198
2022-01-08,Poland,12262.854139605204,307.66994169602793,286.2267532902165,7.181329168753848
2022-01-09,Poland,12512.751657513087,313.9398532069434,323.3757454608229,8.113349425292872
2022-01-10,Poland,12734.101016167238,319.4934964853078,350.80159920063795,8.801411494258852
2022-01-11,Poland,12160.19560220716,305.09452130622094,354.27396301873137,8.888481459276402
2022-01-12,Poland,11869.41076129409,297.79884077981274,355.74639347017336,8.92541256039254
2022-01-13,Poland,12668.357654514703,317.8441383976841,355.3034149594286,8.914279460275926
2022-01-14,Poland,14411.575012503561,361.58083101807046,327.93303348348144,8.227620656344092
2022-01-15,Poland,16274.894419468,408.33089395330114,321.6523738133121,8.070067166422275
2022-01-16,Poland,18319.464267878513,459.62829538595287,335.3142095621135,8.41279930035554
2022-01-17,Poland,20255.628718987602,508.20591764152476,326.7497251376531,8.197928902221125
