"ID";"ModesOfTravel";"Population";"TripCharacteristics";"Margins";"RegionCharacteristics";"Periods";"Trips_1";"Trips_4"
"4272";"T001093";"A048710";"2031100";"MW00000";"PV27    ";"2018JJ00";"2.71";"144"
"4273";"T001093";"A048710";"2031100";"MW00000";"PV27    ";"2019JJ00";"2.72";"142"
"4274";"T001093";"A048710";"2031100";"MW00000";"PV27    ";"2020JJ00";"2.21";"115"
"4275";"T001093";"A048710";"2031100";"MW00000";"PV27    ";"2021JJ00";"2.5";"130"
"4276";"T001093";"A048710";"2031100";"MW00000";"PV28    ";"2018JJ00";"2.71";"143"
"4277";"T001093";"A048710";"2031100";"MW00000";"PV28    ";"2019JJ00";"2.67";"139"
"4278";"T001093";"A048710";"2031100";"MW00000";"PV28    ";"2020JJ00";"2.23";"116"
"4279";"T001093";"A048710";"2031100";"MW00000";"PV28    ";"2021JJ00";"2.36";"123"
"4280";"T001093";"A048710";"2031100";"MW00000";"PV29    ";"2018JJ00";"2.73";"145"
"4281";"T001093";"A048710";"2031100";"MW00000";"PV29    ";"2019JJ00";"3.32";"173"
"4282";"T001093";"A048710";"2031100";"MW00000";"PV29    ";"2020JJ00";"2.25";"117"
"4283";"T001093";"A048710";"2031100";"MW00000";"PV29    ";"2021JJ00";"2.37";"123"
"4284";"T001093";"A048710";"2031100";"MW00000";"PV30    ";"2018JJ00";"2.67";"141"
"4285";"T001093";"A048710";"2031100";"MW00000";"PV30    ";"2019JJ00";"2.81";"146"
"4286";"T001093";"A048710";"2031100";"MW00000";"PV30    ";"2020JJ00";"2.51";"130"
"4287";"T001093";"A048710";"2031100";"MW00000";"PV30    ";"2021JJ00";"2.53";"131"
"4288";"T001093";"A048710";"2031100";"MW00000";"PV31    ";"2018JJ00";"2.85";"151"
"4289";"T001093";"A048710";"2031100";"MW00000";"PV31    ";"2019JJ00";"2.68";"139"
"4290";"T001093";"A048710";"2031100";"MW00000";"PV31    ";"2020JJ00";"2.32";"121"
"4291";"T001093";"A048710";"2031100";"MW00000";"PV31    ";"2021JJ00";"2.55";"133"
"4312";"T001093";"A048710";"2031100";"MOG0095";"NL01    ";"2018JJ00";"2.71";"144"
"4313";"T001093";"A048710";"2031100";"MOG0095";"NL01    ";"2019JJ00";"2.69";"140"
"4314";"T001093";"A048710";"2031100";"MOG0095";"NL01    ";"2020JJ00";"2.27";"118"
"4315";"T001093";"A048710";"2031100";"MOG0095";"NL01    ";"2021JJ00";"2.44";"127"
"4316";"T001093";"A048710";"2031100";"MOG0095";"LD01    ";"2018JJ00";"2.66";"141"
